rank	word	score	sources	googleRank	wordfreqRank	cocaRank
120	aid	0.325262	google,wordfreq,coca	161	137	140
121	fee	0.329455	google,wordfreq,coca	158	202	132
122	pop	0.333604	google,wordfreq,coca	150	133	150
123	lie	0.333784	google,wordfreq,coca	350	130	84
124	net	0.337076	google,wordfreq,coca	85	144	172
125	leg	0.337662	google,wordfreq,coca	297	159	99
126	dry	0.341405	google,wordfreq,coca	208	149	133
127	lay	0.341856	google,wordfreq,coca	318	158	95
128	wow	0.344291	google,wordfreq,coca	282	112	117
129	tea	0.349432	google,wordfreq,coca	228	153	131
130	mix	0.354302	google,wordfreq,coca	204	160	141
131	tip	0.359578	google,wordfreq,coca	222	185	134
132	pro	0.367740	google,wordfreq,coca	98	129	191
133	aim	0.368642	google,wordfreq,coca	219	180	142
134	row	0.369859	google,wordfreq,coca	216	168	146
135	lab	0.371392	google,wordfreq,coca	197	214	145
136	log	0.378157	google,wordfreq,coca	89	217	185
137	hat	0.378472	google,wordfreq,coca	253	176	138
138	are	0.387933	google,wordfreq	6	6	
139	was	0.389150	google,wordfreq	9	5	
140	pet	0.391414	google,wordfreq,coca	173	222	165
141	has	0.392307	google,wordfreq	11	13	
142	van	0.392677	google,wordfreq,coca	148	135	190
143	ear	0.394977	google,wordfreq,coca	331	204	118
144	dna	0.395427	google,wordfreq,coca	240	191	151
145	cap	0.400162	google,wordfreq,coca	246	181	154
146	bet	0.400974	google,wordfreq,coca	321	140	137
147	had	0.401551	google,wordfreq	28	16	
148	tie	0.401786	google,wordfreq,coca	333	187	125
149	era	0.402056	google,wordfreq,coca	303	166	139
150	sad	0.403184	google,wordfreq,coca	359	139	126
151	mad	0.407918	google,wordfreq,coca	308	151	144
152	cry	0.408640	google,wordfreq,coca	388	172	114
153	did	0.412058	google,wordfreq	41	31	
154	egg	0.415314	google,wordfreq,coca	366	193	122
155	raw	0.417343	google,wordfreq,coca	249	184	164
156	toy	0.419057	google,wordfreq,coca	232	260	157
157	gap	0.420049	google,wordfreq,coca	300	194	147
158	hip	0.420996	google,wordfreq,coca	234	203	168
159	kit	0.421266	google,wordfreq,coca	138	226	196
160	wet	0.421402	google,wordfreq,coca	258	188	163
161	sin	0.422935	google,wordfreq,coca	293	190	152
162	got	0.427300	google,wordfreq	69	36	
163	men	0.427480	google,wordfreq	59	55	
164	bid	0.429383	google,wordfreq,coca	123	223	207
165	non	0.430727	google,wordfreq	53	78	
166	joy	0.437771	google,wordfreq,coca	312	177	158
167	app	0.443948	google,wordfreq,coca	376	165	143
168	tag	0.444986	google,wordfreq,coca	203	200	195
169	ceo	0.447150	google,wordfreq,coca	338	219	148
170	usa	0.447863	google,wordfreq	51	145	
171	san	0.448494	google,wordfreq	67	118	
172	pan	0.449044	google,wordfreq,coca	269	215	173
173	bug	0.451614	google,wordfreq,coca	191	296	186
174	jan	0.453499	google,wordfreq	34	197	
175	jet	0.455628	google,wordfreq,coca	306	243	160
176	doc	0.462617	google,wordfreq,coca	214	311	183
177	dvd	0.466892	google,wordfreq	43	230	
178	pot	0.468705	google,wordfreq,coca	361	218	155
179	pre	0.473701	google,wordfreq	120	114	
180	ray	0.477408	google,wordfreq,coca	207	164	222
181	ski	0.481016	google,wordfreq,coca	223	269	200
182	saw	0.482314	google,wordfreq	163	67	
183	odd	0.482819	google,wordfreq,coca	384	206	159
184	los	0.484163	google,wordfreq	128	138	
185	sum	0.486562	google,wordfreq,coca	274	207	198
186	inc	0.487906	google,wordfreq	129	150	
187	dec	0.489394	google,wordfreq	66	271	
188	sat	0.489619	google,wordfreq	121	171	
189	oct	0.490566	google,wordfreq	76	257	
